security_id,exchange,board,listing_date,sample_reason
688212.SH,SH,STAR,20211115,deterministic 500 extension
688001.SH,SH,STAR,20190722,deterministic 500 extension
688188.SH,SH,STAR,20190808,deterministic 500 extension
688689.SH,SH,STAR,20210127,deterministic 500 extension
688678.SH,SH,STAR,20201223,deterministic 500 extension
688517.SH,SH,STAR,20210618,deterministic 500 extension
688382.SH,SH,STAR,20220725,deterministic 500 extension
688378.SH,SH,STAR,20200903,deterministic 500 extension
688108.SH,SH,STAR,20191030,deterministic 500 extension
300377.SZ,SZ,ChiNext,20140127,deterministic 500 extension
300648.SZ,SZ,ChiNext,20170425,deterministic 500 extension
301396.SZ,SZ,ChiNext,20221111,deterministic 500 extension
301090.SZ,SZ,ChiNext,20211026,deterministic 500 extension
